"","X","Address","lon","lat","AddressTrimmed"
"2580",67,"Saint Lambert Du Lattay, Pays de la Loire, 49750  ",-0.634216,47.301692,"Saint Lambert Du Lattay, Pays de la Loire, 49750  "
"2581",69,"Saint Georges Des Gardes, Pays de la Loire, 49120  ",-0.760094,47.150275,"Saint Georges Des Gardes, Pays de la Loire, 49120  "
"2582",71,"Chemille, 49120  ",-0.727409,47.210107,"Chemille, 49120  "
"2583",73,"Beaupreau, Pays de la Loire, 49600  ",-0.9916559,47.206472,"Beaupreau, Pays de la Loire, 49600  "
"2584",75,"Picquigny, Nord-Pas-de-Calais Picardie, 80310  ",2.143113,49.9440079,"Picquigny, Nord-Pas-de-Calais Picardie, 80310  "
"2585",77,"Poix de Picardie, 80290  ",1.98463,49.775453,"Poix de Picardie, 80290  "
"2586",79,"Gamaches, Normandie, 80220  ",1.5541383,49.9854724,"Gamaches, Normandie, 80220  "
"2587",81,"Fressenneville, Nord-Pas-de-Calais Picardie, 80390  ",1.5817227,50.0850668,"Fressenneville, Nord-Pas-de-Calais Picardie, 80390  "
"2588",83,"Pont Remy, Nord-Pas-de-Calais Picardie, 80580  ",1.903714,50.054755,"Pont Remy, Nord-Pas-de-Calais Picardie, 80580  "
"2589",85,"Nesle, Nord-Pas-de-Calais Picardie, 80190  ",2.910174,49.757425,"Nesle, Nord-Pas-de-Calais Picardie, 80190  "
"2590",87,"Roisel, Nord-Pas-de-Calais Picardie, 80240  ",3.097787,49.9465999,"Roisel, Nord-Pas-de-Calais Picardie, 80240  "
"2591",89,"Chaulnes, Nord-Pas-de-Calais Picardie, 80320  ",2.7986749,49.818782,"Chaulnes, Nord-Pas-de-Calais Picardie, 80320  "
"2592",91,"Mailly Maillet, Nord-Pas-de-Calais Picardie, 80560  ",2.604942,50.077367,"Mailly Maillet, Nord-Pas-de-Calais Picardie, 80560  "
"2593",93,"Albert, Nord-Pas-de-Calais-Picardie, 80300  ",2.651604,50.001357,"Albert, Nord-Pas-de-Calais-Picardie, 80300  "
"2594",95,"Amiens, Nord-Pas-de-Calais-Picardie, 80090  ",2.3200417,49.8776661,"Amiens, Nord-Pas-de-Calais-Picardie, 80090  "
"2595",97,"Mes les Bains,   ",1.389287,50.066072,"Mes les Bains,   "
"2596",99,"Mazamet, Languedoc-Roussillon-Midi-Pyrénées, 81200  ",2.3616203,43.4786799,"Mazamet, Languedoc-Roussillon-Midi-Pyrénées, 81200  "
"2597",101,"Paulinet, Languedoc-Roussillon-Midi-Pyrénées, 81250  ",2.430911,43.849262,"Paulinet, Languedoc-Roussillon-Midi-Pyrénées, 81250  "
"2598",103,"Albi, Languedoc-Roussillon-Midi-Pyrénées, 81000 View ListingClick To Load More Results Find A Church By NameChurch name:Enter any location:Search Now Featured AdvertisersCBD Superstore > use code 'CatholicLife' -->",2.1486413,43.9250853,"Albi, Languedoc-Roussillon-Midi-Pyrénées, 81000 "
"2599",5,"Mirandol Bourgnounac, 81190  ",2.1687,44.143149,"Mirandol Bourgnounac, 81190  "
"2600",7,"Vabre, Languedoc-Roussillon Midi-Pyrénées, 81330  ",2.425068,43.692993,"Vabre, Languedoc-Roussillon Midi-Pyrénées, 81330  "
"2601",9,"Istres, 13800  ",4.9454803,43.5212157,"Istres, 13800  "
"2602",11,"Miramas Le Vieux, 13140  ",5.0244224,43.5630433,"Miramas Le Vieux, 13140  "
"2603",13,"Salon De Provence, 13300  ",5.0702794,43.6499323,"Salon De Provence, 13300  "
"2604",15,"Peyrehorade, Aquitaine-Limousin-Poitou-Charentes, 40300  ",-1.097208,43.545627,"Peyrehorade, Aquitaine-Limousin-Poitou-Charentes, 40300  "
"2605",17,"Saint Vincent De Tyrosse, Aquitaine-Limousin-Poitou-Charentes, 40230  ",-1.301187,43.6587109,"Saint Vincent De Tyrosse, Aquitaine-Limousin-Poitou-Charentes, 40230  "
"2606",19,"Casteljaloux, Aquitaine-Limousin-Poitou-Charentes, 47700  ",0.088354,44.313746,"Casteljaloux, Aquitaine-Limousin-Poitou-Charentes, 47700  "
"2607",21,"Nerac, Aquitaine-Limousin-Poitou-Charentes, 47600  ",0.340128,44.136103,"Nerac, Aquitaine-Limousin-Poitou-Charentes, 47600  "
"2608",23,"Puymirol, Aquitaine-Limousin-Poitou-Charentes, 47270  ",0.7962709,44.186583,"Puymirol, Aquitaine-Limousin-Poitou-Charentes, 47270  "
"2609",25,"Tonneins, Aquitaine-Limousin-Poitou-Charentes, 47400  ",0.308179,44.391183,"Tonneins, Aquitaine-Limousin-Poitou-Charentes, 47400  "
"2610",27,"Port Sainte Marie, Aquitaine-Limousin-Poitou-Charentes, 47130  ",0.3794434,44.2531345,"Port Sainte Marie, Aquitaine-Limousin-Poitou-Charentes, 47130  "
"2611",29,"Gontaud De Nogaret, Aquitaine-Limousin-Poitou-Charentes, 47400  ",0.294807,44.455146,"Gontaud De Nogaret, Aquitaine-Limousin-Poitou-Charentes, 47400  "
"2612",31,"Saint Brieuc, Bretagne, 22000  ",-2.765835,48.51418,"Saint Brieuc, Bretagne, 22000  "
"2613",33,"Belcodene, 13720  ",5.586635,43.424839,"Belcodene, 13720  "
"2614",35,"La Ciotat, 13600  ",5.605155,43.173653,"La Ciotat, 13600  "
"2615",37,"Marseille, 13008  ",5.3824844,43.2471799,"Marseille, 13008  "
"2616",39,"Carignan, Alsace-Champagne-Ardenne-Lorraine, 8110  ",5.168674,49.632487,"Carignan, Alsace-Champagne-Ardenne-Lorraine, 8110  "
"2617",41,"Mouzon, Alsace-Champagne-Ardenne-Lorraine, 8210  ",5.077257,49.606115,"Mouzon, Alsace-Champagne-Ardenne-Lorraine, 8210  "
"2618",43,"Valenciennes, Nord-Pas-de-Calais Picardie, 59300  ",3.518332,50.357113,"Valenciennes, Nord-Pas-de-Calais Picardie, 59300  "
"2619",45,"Jallais, Pays de la Loire, 49510  ",-0.867684,47.195407,"Jallais, Pays de la Loire, 49510  "
"2620",47,"Lyon 8, Auvergne-Rhône-Alpes, 69008  ",4.8696165,45.7315386,"Lyon 8, Auvergne-Rhône-Alpes, 69008  "
"2621",49,"Lyon, Auvergne-Rhône-Alpes, 69001  ",4.8280831,45.7712918,"Lyon, Auvergne-Rhône-Alpes, 69001  "
"2622",51,"Nice, 6300  ",7.2922646,43.706449,"Nice, 6300  "
"2623",53,"Soulac Sur Mer, Aquitaine-Limousin-Poitou-Charentes, 33780  ",-1.123258,45.515125,"Soulac Sur Mer, Aquitaine-Limousin-Poitou-Charentes, 33780  "
"2624",55,"Pont De L, Alsace-Champagne-Ardenne-Lorraine, 13360  ",6.054868,48.90329,"Pont De L, Alsace-Champagne-Ardenne-Lorraine, 13360  "
"2625",57,"Marseille, 13013  ",5.4283815,43.3470594,"Marseille, 13013  "
